geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
65758,-5.018236775625586,-44.98993693107475,são roberto,MA
65716,-4.448232371714592,-45.23971727025355,paulo ramos,MA
65760,-5.309616448002474,-44.494492551445745,presidente dutra,MA
65790,-5.573837987577579,-44.38433463702893,sao domingos do maranhao,MA
65760,-5.289785232016972,-44.493743303548655,presidente dutra,MA
65725,-4.577237178504081,-44.60616996811692,pedreiras,MA
65728,-4.514602205162344,-44.46523560258117,lima campos,MA
65725,-4.573116715493473,-44.59842707204572,pedreiras,MA
65762,-5.027483999999944,-44.54378449999996,sao jose dos basilios,MA
65725,-4.570832448459443,-44.600341582606156,pedreiras,MA
65720,-4.659183918082321,-44.8532205553511,igarape grande,MA
65728,-4.521735209991027,-44.46523318851332,lima campos,MA
65750,-4.875864733200351,-44.881622265944806,esperantinopolis,MA
65718,-4.9933283906241925,-45.3886468312561,lagoa grande do maranhão,MA
65706,-4.135386074621886,-45.113429990845816,olho d'agua das cunhas,MA
65725,-4.578370918487908,-44.59457743741184,pedreiras,MA
65707,-3.8845890000000027,-45.17168849999999,pio xii,MA
65718,-4.992462000000003,-45.38897423512551,lagoa grande do maranhao,MA
65700,-4.232696836914164,-44.784533569870504,bacabal,MA
65763,-5.2559133809612515,-44.6514486465164,tuntum,MA
65718,-4.992462000000003,-45.38897423512551,lagoa grande do maranhao,MA
65770,-5.024173500000003,-44.270266500000005,governador archer,MA
65730,-4.817342999999944,-44.48957299999995,santo antonio dos lopes,MA
65700,-4.225109677469311,-44.7929789308302,bacabal,MA
65790,-5.573837987577579,-44.38433463702893,sao domingos do maranhao,MA
65707,-3.893657853917645,-45.170790301010996,pio xii,MA
65725,-4.576467993025908,-44.59528247925276,pedreiras,MA
65790,-5.576650670903693,-44.385439152794696,são domingos do maranhão,MA
65760,-5.281774653032572,-44.49568301234154,presidente dutra,MA
65700,-4.233841728308341,-44.78345728700711,bacabal,MA
65790,-5.581670065496947,-44.38156253645464,sao domingos do maranhao,MA
65790,-5.578244778386772,-44.37939061018378,sao domingos do maranhao,MA
65727,-4.571862508717424,-44.607518121464324,trizidela do vale,MA
65700,-4.231443293752307,-44.771973331366304,bacabal,MA
65700,-4.231604219120232,-44.77958838670758,bacabal,MA
65790,-5.581670065496947,-44.38156253645464,sao domingos do maranhao,MA
65725,-4.577665750527,-44.59411019767513,pedreiras,MA
65730,-4.867548658859712,-44.357017646610096,santo antonio dos lopes,MA
65790,-5.580371713667304,-44.38358201022786,são domingos do maranhão,MA
65765,-5.040068685738928,-44.43921154790299,dom pedro,MA
65763,-5.263086198025915,-44.64238672663024,tuntum,MA
65790,-5.580371713667304,-44.38358201022786,sao domingos do maranhao,MA
65740,-4.756695266060039,-44.94189259830935,pocao de pedras,MA
65760,-5.089362132651725,-44.455365810662116,presidente dutra,MA
65715,-4.569589758005892,-45.133399401696195,lago da pedra,MA
65725,-4.573267033123314,-44.59817458329693,pedreiras,MA
65760,-5.287396363966588,-44.5044144006263,presidente dutra,MA
65715,-4.56867337028631,-45.12385506205703,lago da pedra,MA
65700,-4.207030340486679,-44.78949459982203,bacabal,MA
65765,-5.038484783389054,-44.43863221246047,dom pedro,MA
65730,-4.867548658859712,-44.357017646610096,santo antonio dos lopes,MA
65750,-4.8883746931968615,-44.88559026324932,esperantinópolis,MA
65760,-5.306340385903511,-44.487416914524765,presidente dutra,MA
65700,-4.225750174926721,-44.78233082705899,bacabal,MA
65730,-4.807946999999945,-44.475532999999956,santo antônio dos lopes,MA
65725,-4.566386009645874,-44.5952317146412,pedreiras,MA
65765,-5.045060619309677,-44.43862472157512,dom pedro,MA
65700,-4.227161002469397,-44.78178887916516,bacabal,MA
65727,-4.56647301107479,-44.615534889917,trizidela do vale,MA
65700,-4.213112224678649,-44.78079322015628,bacabal,MA
65750,-4.882606514237058,-44.88169794548149,esperantinopolis,MA
65765,-5.042676395116424,-44.439831025282636,dom pedro,MA
65760,-5.2831816655459125,-44.49292895948638,presidente dutra,MA
65775,-5.156979203282784,-44.300440289405046,goncalves dias,MA
65760,-5.308634750477684,-44.494925498174815,presidente dutra,MA
65760,-5.308357121633092,-44.49518766330255,presidente dutra,MA
65753,-5.104648679121562,-45.08285470512421,são raimundo do doca bezerra,MA
65725,-4.56911585107932,-44.60513133258049,pedreiras,MA
65727,-4.564636160076632,-44.61535777312005,trizidela do vale,MA
65790,-5.586758063874514,-44.380480835894595,são domingos do maranhão,MA
65750,-4.874088097432045,-44.87784194436891,esperantinopolis,MA
65707,-3.8955604299927606,-45.17090155356503,pio xii,MA
65727,-4.5701000507759115,-44.6114097784706,trizidela do vale,MA
65710,-4.6039984524878035,-45.05004587217072,lago do junco,MA
65718,-4.992076799903206,-45.38734677142549,lagoa grande do maranhao,MA
65700,-4.243548430925567,-44.786376682604235,bacabal,MA
65790,-5.576306574555016,-44.38712104617848,sao domingos do maranhao,MA
65725,-4.575699040051016,-44.607725922436956,pedreiras,MA
65700,-4.230028636781367,-44.77990095533294,bacabal,MA
65725,-4.568443480025833,-44.60024173378771,pedreiras,MA
65700,-4.228349788963312,-44.79736303027695,bacabal,MA
65735,-4.728102310578403,-44.32261049039333,capinzal do norte,MA
65790,-5.6234099999999465,-44.34006949999997,são domingos do maranhão,MA
65740,-4.752511484851188,-44.942857989900794,pocao de pedras,MA
65760,-5.295311237322737,-44.500780892497374,presidente dutra,MA
65725,-4.578187180168558,-44.594314954098486,pedreiras,MA
65760,-5.296727999999945,-44.46269899999996,presidente dutra,MA
65760,-5.309915276851694,-44.49341806388677,presidente dutra,MA
65783,-5.261089499999997,-44.05605750000001,senador alexandre costa,MA
65730,-4.871474999999993,-44.359823250000005,santo antonio dos lopes,MA
65710,-4.603049999999939,-45.05142999999998,lago do junco,MA
65715,-4.56867337028631,-45.12385506205703,lago da pedra,MA
65700,-4.225829764597061,-44.78393791776334,bacabal,MA
65715,-4.571194957671955,-45.130560487004836,lago da pedra,MA
