customer_id,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state
f2a1d75b74d9ec748af88e894cd87597,15ee900ec703c9a10082b12bcbdcb307,68590,jacunda,PA
f15272fe9d0e2ae3297185f18d3bac46,11e74a9cbe1158d1c934d4c166f59ff3,15056,sao jose do rio preto,SP
7324ecb0ff143f561193d22bea7d63fb,c6be127fa6e30c6f705a205236a1f310,13302,itu,SP
7accf3d920f47c07f5bfbc88f53f9926,a7f1a6dc9ba06844bd84b810efa56d33,45638,coaraci,BA
3680a273ddb333253fa2edc7d3f8a3f2,6cbfcc29787035834a40a46f5898436a,29700,colatina,ES
f18edbd308dd8784ffee6af3f20fd662,ef6e328edc28262f4cb80448f99338cb,18055,sorocaba,SP
d7492c2b1d4bcba6c2c8cfd6a25ef8c2,d681f09d6d055742a26128c292625e00,44054,feira de santana,BA
208954ebe4665c5b2392ff5b25e918c2,dc36c19e6e8bdcb2d9c2bf1f8fc6d25a,9812,sao bernardo do campo,SP
eb4e0055f25e3f034c9fe8da064abb3d,d5763d39861acd1baedfcbd33dccb59d,70673,brasilia,DF
8271ceeaf964f129bcc35e89a3d4520c,ef702c59e385cb13bd800b7fb30cc822,22793,rio de janeiro,RJ
9c701fa0ca8a580d86ec245af013d65b,3c023c5cbc1bb587bd05639d561ca0b8,55819,carpina,PE
c2e1d65c47178eac5bd515e6653959e8,d1dae3a5d39b1261850728549a01667a,9370,maua,SP
36ffc4b2179b9dec36fcfe0595c28bf5,0139884762afa50d78fe480646fe92b5,49400,lagarto,SE
167be5b45cbb0ea5a6ef63a599c16c8d,e3301490c373db9263c15a73172d0c6f,8223,sao paulo,SP
49370a22da342102b4d388e16a30f5bc,ddd1f21fb793ef5112f77dd6f6844bb4,95705,bento goncalves,RS
8c49acfb0572260243fb807b44f94200,708976af642e89528bcb19b3e72b4152,88385,penha,SC
972cd773a42450ed39ee9e1f290f3529,d7140656936a641754fbd42e1d4efbbf,2013,sao paulo,SP
7b2a039a8b7b57d48e97d3673978a185,fbf1b27fc02af440c30ff6978f440a95,2846,sao paulo,SP
1e82589c6c7a1f0d30ecd3e87cdeaf0f,35946f04caff0b0dfe7096c7ee125cc7,64082,teresina,PI
72d122e0e3d6c3300e4d07ec396d5e22,4fb69312bb98245c6323e18aff1cbe52,58053,joao pessoa,PB
7d645d57533e7cfafcae083fb0f1b509,495fe7ae31686381c8145b2936e761dc,21670,rio de janeiro,RJ
bc653fc2b72cb987f615a7694cd84c6a,823bb2a171fa5c2e6cb24b45c8bcd896,22750,rio de janeiro,RJ
64e20f73f3d7b5102461e9e66671bc47,cb051da0b46e6c5a2584033a82356b8d,15807,catanduva,SP
a9f11314b76b5d3662b70b192c3cafbf,3517d49ae177e9d73900471585d2d1c9,13290,louveira,SP
e2691bbce4ba37372feb78d4f507fa3b,528079815d575acf6e955382ef64d1b8,4045,sao paulo,SP
2f3dc6fda9c82bef02f23f9387ef137e,02a2a0a9627a062602de754d75038ce4,7190,guarulhos,SP
e9d262259915d573a19866fc07d862e5,72710271243055075d60b0f426b4cce9,22795,rio de janeiro,RJ
aa22daee92f1c49865df08f7b28b4d57,b7487f6dfc6da31a900f80971ffe8896,31720,belo horizonte,MG
7236748354429cc6d4e409f177a183c0,e9aea9197ee0114b577d26427df0dab6,72915,aguas lindas de goias,GO
9681479e5fb3c4895a11d61d9261f41e,20fe2c0c8076da1a21ae3f3108844fa3,9862,sao bernardo do campo,SP
d5c38f60d37fed94adf6911209686a32,ac0dbedf05a8aba4b1e0228ebcbb3338,35162,ipatinga,MG
243b40772b00e4ba69a769305b7deb72,2daccb8cb6524f5b1a344559a2729465,28960,iguaba grande,RJ
d85a33fefc77c4027226b4af1683e21e,cee4b4591e7b82254d2c518cc30333a3,90130,porto alegre,RS
45742477c326bf68df61971f1b7792c3,9ccbe12805879061f2044713deb65877,45910,alcobaca,BA
4c29da720594564093d90ef9c34144eb,694b741591e0720653002322d967613b,28035,campos dos goytacazes,RJ
250ce9dfe50e99c23fe27a267c718e49,e1a391e4597870c6f0b881a8ef449d6e,25975,teresopolis,RJ
9b474f065e302d1dbfb227075c1513c8,928f44bc4170b7198115f0bf072645a8,64900,bom jesus,PI
b74584aa39691bb6fdd0f68571d3ba0b,f72b7208452f18c74743c34dfdfcb37d,62400,camocim,CE
