order_id,payment_sequential,payment_type,payment_installments,payment_value
e558bf8bb8fddae947c5ab3a53b8ff64,1,credit_card,1,371.13
2095778434755b568ba4c3c2325096fe,1,credit_card,2,55.11
5c1995c020e0a3b2b23152b3fcfcda76,1,credit_card,1,165.80
ab459ccd2e24ef6d6390517c8b9809a4,1,boleto,1,188.62
9b3d13c2644e10e20020ccd7f3d40534,1,credit_card,5,65.71
4224f44695338cfa528e9a57d8cbd1e5,1,voucher,1,48.60
90b27d5506a9be4b5fb162ac5857d2b7,1,boleto,1,177.99
f9899b702b4c536b09ae0efdb5023a71,1,credit_card,1,34.00
682bc14ace7856a832cef3a783e4886a,1,credit_card,2,114.88
c83d068543c1af3416cfb5d519376c6a,1,credit_card,1,169.98
b3f352a3b3887a501a98642fa5840e66,1,credit_card,4,344.53
041d7e3625568f4f949823fe46818852,1,credit_card,3,61.75
a096c1244026411d2d8d5d955dca7b73,1,boleto,1,32.01
d671370d11048a2dab56335d3d91823e,1,credit_card,3,52.10
28d54ed8d82e889932eed0c294c88a6d,1,credit_card,1,22.45
ed4681677f54e700fbd94ae70f1a85c6,1,credit_card,2,50.34
2e386010d72473c60bdae32edf6823ad,1,credit_card,9,111.33
76a948cd55bf22799753720d4545dd2d,1,boleto,1,48.14
b31ee936a88cbd1d2c24a2e61db2c18c,1,credit_card,1,69.69
ee9ca989fc93ba09a6eddc250ce01742,19,voucher,1,4.56
6158f79edb10532c75937acb0a0e567d,1,credit_card,1,73.49
4624ea7637e72baa8c19beb97398173d,1,credit_card,4,175.79
31854ea0f6e411311f9d52ad9f6b779a,1,boleto,1,132.08
2ff28727dd7a3cbb51cf9b8053a7103a,1,credit_card,6,401.20
b57b3958cf9a3e784bef1df23bc9b9fa,1,boleto,1,47.69
657d6c967a9b233cc5213fdc0434d8b2,1,credit_card,3,267.51
0c484845a32b2d44b9857ab5c1956b99,1,credit_card,1,200.82
0f71c6da7b8d96627eb368097e8ca4dc,1,credit_card,1,55.28
e590915e0817faa870d3eceadaa9399c,1,credit_card,1,53.48
9aeecc9e1b5dc77872bddd35b141fd83,1,credit_card,1,31.77
d3775e436e60258e62e678a0f68a0f8d,1,credit_card,3,225.85
0e559702749c8ecac2272fa97d1624dd,1,credit_card,2,158.36
21be81b09ccb9f3d183ce25919c8c30f,1,credit_card,2,388.60
64320e0f5e1ada4c014e87b66072b89a,1,credit_card,1,21.43
b98b36de3a8f201eb3fb9d8d46a27737,1,credit_card,10,818.40
c6c304f8417f11d277f34b8a6ffe1532,1,credit_card,3,144.76
d19e65e88e48b013c91b0e77c852d06e,2,debit_card,1,99.50
889f4a91a6dd40de2cff5139cf2da1e6,1,credit_card,10,193.90
3069c59ca4d7b71a93c01aa815b34ec3,1,credit_card,1,73.48
033a7061d514534d3459c3f1f06fe341,2,voucher,1,30.00
7c2484624f578a3a2598f6192b66db93,1,credit_card,2,43.13
