review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp
e22aad953e113cdccbc275b9445b8795,8b2c286fa36b36c8144eca3a464b09ae,4,,Nota 10,2017-09-19 00:00:00,2017-09-20 01:07:14
5ddb195ab2206a456ec92b69d2119aca,18937b40506fdcbd3016fa5dea59cbd5,4,,,2017-05-30 00:00:00,2017-07-06 18:36:02
4d3c61768eb47216ecf732bbbd8bef3c,cb4a79c1e6c9ae44302861e7602cc449,1,,"Absurdo! Venderam o produto, paguei e, sem nenhuma explicação cancelaram a compra!!! Fiquei extremamente frustrado. Não volto a comprar nessa loja!!!",2018-01-05 00:00:00,2018-01-15 11:04:49
5ef9614ed02a28935d5e4eb17c74d635,2e1934467537a71d1ef09726c4c27b11,3,,,2018-08-01 00:00:00,2018-08-02 12:00:50
f62709ef754361d3e7267c473b69a2d4,c812c0f1cdbb156865e2d5e0ee09ee5f,5,,recebi no prazo,2017-03-14 00:00:00,2017-03-17 08:16:49
ff15d93bb26db0e6d8e77608ec53bd24,40100562b4c65bc39a1feee1c171bb12,3,Nao recebi,Meu relogio nao chegou,2018-07-11 00:00:00,2018-07-13 01:14:23
69634cf796943b1086aa2197f91d4e48,441395aaffbe4ce5bca4d8ca3b75a4e4,4,,,2018-06-05 00:00:00,2018-06-07 20:05:51
937804d7a75c25090020af23e32afe48,a4fa719430167664811c30680941ec40,5,,,2018-08-17 00:00:00,2018-08-19 23:17:40
4295c0da599d73ea0eb1492be0269956,0f3a5047f59b6a2df32f4471eedb41c5,5,,,2017-11-08 00:00:00,2017-11-08 18:38:39
3106ee243874b0e10208c710cc248ccc,5981f36992c8a99eff941a3d3375b318,1,,,2018-04-28 00:00:00,2018-05-01 13:23:19
646030e1662f8bc7450ed9df56adc19c,ebb616297d99bc328a845d4eee057027,5,,,2017-09-06 00:00:00,2017-09-07 03:37:57
acde992281f8a62cb1bbe210ddccfd8e,674c79007110911b0f14e6c43ab64669,3,Recomendo,"Demorou mas chegou. A produção foi lenta. Envio após confirmação de pagamento também. No mais, a greve dos caminhoneiros afetou a entrega.",2018-06-08 00:00:00,2018-06-09 00:17:51
d996f3add30103ba796e12f4d7e82a1d,56e7d463a96db09e951999dd6e74f136,5,,,2018-07-31 00:00:00,2018-08-01 00:07:46
87f545a5f14f492c8d86d28ae5096327,3579ad4440247fd01709d8583ae2c137,1,,"Fiz o cancelamento porque tiver plobema na entrega,mais ainda não devolveram o meu dinheiro.",2017-12-28 00:00:00,2017-12-28 09:51:28
ea18540e2c6a65272e7f063004b9543c,4cf8e5fafb46ec3ef4e9b76e9eb2bf25,5,,,2018-08-30 00:00:00,2018-08-31 00:59:01
28032e616f94f0bcc47e47b609034c78,b20c4853eeabf3094cf40ce7fcacacca,5,,,2017-08-02 00:00:00,2017-08-07 18:10:12
9598097b55b11f759f971dc8fa6baa8c,20379a997b864417f763a970359229a6,5,,,2017-12-13 00:00:00,2017-12-14 00:07:44
b41332223d6e171fe223830b031f0fff,8ac2728285fd4228f35d907768b5288a,5,,Amei tudo muito lindo...,2017-03-14 00:00:00,2017-03-15 00:51:26
f63a0846bdef6a0f2ec070593ce0e616,e37de8ebd6b9572f9265b56ea828b645,4,,,2017-10-10 00:00:00,2017-10-12 16:40:21
7a377ce9f21a7e3edddd39968b32ace3,e55445ddc4194e562e73e0fb3b49f26b,5,,Interessante este produto amei,2017-11-24 00:00:00,2017-11-27 12:46:54
ea45102958f9e94306a487a22ec5b03a,209ee6cc42b6f0628db36da5d69fd1f7,5,,,2017-12-21 00:00:00,2017-12-23 22:39:49
c6207c08c45f92d5de39fd2322d5c965,52008998ed11bdd670e60f49dd40935c,5,,,2017-10-03 00:00:00,2017-10-04 00:12:00
ca32211f57a0fe522967e53452b4bd37,54359cee0d9645cef070695ce5539d7c,5,,"Muito bem embalada e foi entregue no prazo, tudo correto!",,
",2017-12-04 00:00:00,2017-12-04 14:17:27",,,,,,
53cb2792a3d80ed52ad19e280bb3fd7b,777f086f57e89ea16f5b49fbcb4a34a0,1,,"Produto de procedência duvidosa, mau da para ler o rótulo.",,
",2018-06-22 00:00:00,2018-06-25 18:43:40",,,,,,
0ac405863ea9b1aaa0835884d7747e9b,3e525509a51c670ba1386ba88ac9ab6a,4,,,2018-06-09 00:00:00,2018-06-11 23:58:11
f287fe9240af1dbb39f4678bc0fed822,709e863921cdc58bb0582cf305270d72,5,,,2018-04-19 00:00:00,2018-04-22 14:15:33
0da52cd3454be502696e4e6f9d67e979,d7d3a4c2c9adeb4eb48ee89382f89a87,5,,Atendimento nota 1000 mto bom,2018-05-09 00:00:00,2018-05-12 22:30:19
a7a8e9c7cf39837a133330b1f6a703c5,47e488415ce9fda6fee06ab849f35ec0,2,,Produto não funcionou no meu pc.,2018-02-21 00:00:00,2018-02-28 12:18:54
e5417d4fc880f9ad80d614b3d914a56f,51d33e03b53c86c11bb49dac397b1a46,5,super recomendo,Recebi meu produto no prazo e recomendo essa loja.,2018-08-16 00:00:00,2018-09-06 01:39:56
f994b1d9d7cdbcecc05d7e00c4132956,53b8913fe5c632a9aa10069a33aaceb0,5,,,2017-12-03 00:00:00,2017-12-07 16:44:41
94af97aefdf90239a8f9b62cf3c98514,42653d5c4df9e26fb929a370f55ee092,5,,,2017-08-24 00:00:00,2017-08-25 19:54:22
1a8cdc13ae2e9e631595617f4a91b3a3,326a3f53e1327657d03e8ed95ffe5578,5,Muito bom,"Produto entregue antes da data prevista, tdo perfeito.",2018-08-24 00:00:00,2018-08-24 23:46:39
1ab34ed9adc3b70f69cd903081ae0e53,fe17148ab6bdbcf44f2da8a81c4ace85,4,,,2017-06-09 00:00:00,2017-06-12 08:47:31
1b1e5f1d88e57166e35cb6cc9c489006,92abbc3feb3045ffa00bc4cb5f18859d,3,,"Chegou no prazo, porém o prazo definido era muito grande. Há uma demora muito grande",,
para entrega,quase três semanas,"que prejudica a compra. O razoável para minha cidade seria uma semana máximo\"",2018-04-16 00:00:00,2018-04-16 19:56:33,,
bc677973a1a1fd195ad1a9c6a912c31b,20d82c386747fe65c4190d75f15c9a6d,3,,"Realizei a compra de dois cartuchos de tinta preto e, apesar da entrega correta, no tempo correto, não veio acompanhado de nota fiscal tampouco me foi enviada por email. Vou tentar novamente contato.",2018-04-08 00:00:00,2018-04-09 13:22:18
1281cf3c78b4855f1ff816e68350d663,98f80eddddaaa6c3e5dea02ff36ad263,2,,,2018-02-16 00:00:00,2018-02-18 03:53:01
52908359b20d70532ff14ddd15aeabf2,4ff9ab070e81af8af428c889cc08b06d,5,,,2018-07-27 00:00:00,2018-07-30 02:05:48
34b1cc0149838ff27bcac3da54eac753,bd9ff9dfae49eb3a07837fd0bc16154e,5,,,2018-06-06 00:00:00,2018-06-09 02:04:57
addedbee3c810eb802219c1822a805ec,c098cba2756a69368af3647513e27a98,2,,"O abajur veio certinho, porém o ki bolsa, a pequena veio rasgada e agora a troca é uma burocracia. Difícil o pós venda.",2018-02-07 00:00:00,2018-02-09 18:12:58
c598947b5a794839306c37a2b67e40b6,2e203d616e144d45fd13e47098343406,2,Ruim,"Fiz a compra dia 06/08 /2018 não no dia 16/08, era pra ter cido do entregue dia 15/08 . Estou apressada pelo produto pois já estou prestes a dar a luz. Estou na espera.",,
",2018-08-17 00:00:00,2018-08-17 17:01:16",,,,,,
f57ff1aec07193a06f4fc055cc660091,00ab210695a17fe10e6b23616ae5bc97,4,Boa loja,Bom,2018-06-20 00:00:00,2018-06-21 11:22:52
9f635f380a60d44145fc25f487cef467,08090fccbb124a320054723db6201076,3,,,2017-12-15 00:00:00,2017-12-18 09:11:41
de81764f130ce1fff678263c1ff5f103,e6670c9089973cc68e5b90b7d1f4fec4,4,,,2018-08-22 00:00:00,2018-08-22 17:56:41
6b2376d850513909e5f95fdb7994e092,ebaa5eb35a303a3a68afc58ede4f5661,5,,,2018-03-11 00:00:00,2018-03-14 13:49:11
1ebbe61a89d66b5a47f3a440802819ad,bfe6602edb1568292d527c61684405ed,5,,,2018-01-16 00:00:00,2018-01-16 23:44:36
f1e561d93aab0f51ade15695c74b418a,9042419915d957145ecb21925709a601,5,,,2018-01-19 00:00:00,2018-01-21 15:19:29
fe024f544d1e42a7f8c955da541660f3,342ef067ff890d38864730c89a8776ff,5,,,2017-09-19 00:00:00,2017-09-22 20:20:34
15d241427000f8e6c78bee3de6b6ffba,ffe73fc1d73e03fdb50e63903ddfe882,5,,,2018-04-27 00:00:00,2018-04-30 14:32:24
4f21a2b8b83b8f7a148d7692754d17e7,d360a6c1f7b7eb35282e2c574c5cbf8c,5,,Entregue na data recomendo!,2017-08-06 00:00:00,2017-08-08 19:33:05
2897da5538acec018e33b24cd5dddb2a,677f9173f4c3d73675716a1200c8486d,5,,,2017-10-12 00:00:00,2017-10-14 10:48:18
291ed18248a827959078f480288be80d,c55952869834f4b020085963bd0cd2ea,5,,Os produtos chegaram muito antes do prazo. È uma excelente loja.,2017-06-22 00:00:00,2017-06-23 20:24:59
546bc456fdbd3630e25e67860d663b69,a4b15028cbd22d539a036666a6c03dfb,4,,,2018-05-05 00:00:00,2018-05-08 01:03:55
0b5ee5955a27cf436f2c69c32e95f5b6,56259896085ecf2a38806e4f171032c0,4,avaliação do vendedor,,2018-07-04 00:00:00,2018-07-05 12:35:50
8b038a83ad57e33f57c55ac92878dc6e,5ef46c939902d5213ce1ce081146a410,5,,Produto de ótima qualidade. Super recomendaria...super satisfeita,2017-11-11 00:00:00,2017-11-12 01:55:39
